"id(h)","type(r)","id(t)"
"1062","FRAME","1098"
"1069","FRAME","1098"
"268","FRAME","1098"
"256","FRAME","1098"
"1070","FRAME","1098"
"157","FRAME","1098"
"158","FRAME","1098"
"1077","FRAME","1098"
"1072","FRAME","1098"
"257","FRAME","1098"
"49","FRAME","1098"
"1063","FRAME","1098"
"116","FRAME","1098"
"117","FRAME","1098"
"1201","FRAME_RELATED","1099"
"1229","FRAME_RELATED","1099"
"1214","FRAME_RELATED","1099"
"26","FRAME","1099"
"50","FRAME","1099"
"51","FRAME","1099"
"1071","FRAME","1099"
"166","FRAME","1099"
"158","FRAME","1099"
"48","FRAME","1099"
"42","FRAME","1099"
"45","FRAME","1099"
"227","FRAME","1099"
"3","FRAME","1099"
"1066","FRAME","1099"
"28","FRAME","1099"
"1062","FRAME","1099"
"47","FRAME","1099"
"1077","FRAME","1099"
"43","FRAME","1099"
"49","FRAME","1099"
"253","FRAME","1099"
"187","FRAME","1099"
"186","FRAME","1099"
"46","FRAME","1099"
"44","FRAME","1099"
"1214","FRAME_RELATED","1100"
"1071","FRAME","1100"
"1069","FRAME","1100"
"1062","FRAME","1100"
"1068","FRAME","1100"
"118","FRAME","1100"
"260","FRAME","1100"
"1063","FRAME","1100"
"1072","FRAME","1100"
"1073","FRAME","1100"
"1070","FRAME","1100"
"259","FRAME","1100"
"272","FRAME","1100"
"1077","FRAME","1100"
"261","FRAME","1100"
"120","FRAME","1100"
"1231","FRAME_RELATED","1101"
"1070","FRAME","1101"
"217","FRAME","1101"
"223","FRAME","1101"
"219","FRAME","1101"
"218","FRAME","1101"
"221","FRAME","1101"
"94","FRAME","1101"
"1063","FRAME","1101"
"88","FRAME","1101"
"90","FRAME","1101"
"83","FRAME","1101"
"220","FRAME","1101"
"0","FRAME","1101"
"216","FRAME","1101"
"82","FRAME","1101"
"122","FRAME","1101"
"87","FRAME","1101"
"86","FRAME","1101"
"222","FRAME","1101"
"85","FRAME","1101"
"84","FRAME","1101"
"92","FRAME","1101"
"1077","FRAME","1101"
"1225","FRAME_RELATED","1102"
"1162","FRAME_RELATED","1102"
"152","FRAME","1102"
"19","FRAME","1102"
"143","FRAME","1102"
"22","FRAME","1102"
"17","FRAME","1102"
"151","FRAME","1102"
"21","FRAME","1102"
"20","FRAME","1102"
"147","FRAME","1102"
"1064","FRAME","1102"
"24","FRAME","1102"
"108","FRAME","1102"
"172","FRAME","1102"
"141","FRAME","1102"
"23","FRAME","1102"
"149","FRAME","1102"
"154","FRAME","1102"
"113","FRAME","1102"
"153","FRAME","1102"
"18","FRAME","1102"
"271","FRAME","1102"
"146","FRAME","1102"
"144","FRAME","1102"
"150","FRAME","1102"
"142","FRAME","1102"
"140","FRAME","1102"
"1065","FRAME","1102"
"25","FRAME","1102"
"145","FRAME","1102"
"148","FRAME","1102"
"270","FRAME","1102"
"269","FRAME","1102"
"15","FRAME","1102"
"1064","FRAME","1103"
"1065","FRAME","1103"
"109","FRAME","1103"
"8","FRAME","1103"
"107","FRAME","1103"
"251","FRAME","1103"
"9","FRAME","1103"
"1214","FRAME_RELATED","1104"
"188","FRAME","1104"
"166","FRAME","1104"
"254","FRAME","1104"
"289","FRAME","1104"
"179","FRAME","1104"
"1070","FRAME","1104"
"596","FRAME","1104"
"181","FRAME","1104"
"597","FRAME","1104"
"178","FRAME","1104"
"162","FRAME","1104"
"253","FRAME","1104"
"41","FRAME","1104"
"586","FRAME","1104"
"182","FRAME","1104"
"175","FRAME","1104"
"180","FRAME","1104"
"102","FRAME","1104"
"177","FRAME","1104"
"1077","FRAME","1104"
"167","FRAME","1104"
"1186","FRAME_RELATED","1105"
"105","FRAME","1105"
"495","FRAME","1105"
"1065","FRAME","1105"
"1196","FRAME_RELATED","1106"
"1166","FRAME_RELATED","1106"
"1177","FRAME_RELATED","1106"
"497","FRAME","1106"
"208","FRAME","1106"
"251","FRAME","1106"
"510","FRAME","1106"
"519","FRAME","1106"
"1034","FRAME","1106"
"250","FRAME","1106"
"244","FRAME","1106"
"106","FRAME","1106"
"16","FRAME","1106"
"248","FRAME","1106"
"109","FRAME","1106"
"105","FRAME","1106"
"177","FRAME","1107"
"160","FRAME","1107"
"41","FRAME","1107"
"189","FRAME","1107"
"175","FRAME","1107"
"176","FRAME","1107"
"181","FRAME","1107"
"178","FRAME","1107"
"183","FRAME","1107"
"180","FRAME","1107"
"182","FRAME","1108"
"242","FRAME","1108"
"241","FRAME","1108"
"100","FRAME","1108"
"240","FRAME","1108"
"239","FRAME","1108"
"238","FRAME","1108"
"99","FRAME","1108"
"98","FRAME","1108"
"97","FRAME","1108"
"237","FRAME","1108"
"236","FRAME","1108"
"235","FRAME","1108"
"30","FRAME","1109"
"266","FRAME","1109"
"29","FRAME","1109"
"1234","FRAME_RELATED","1110"
"266","FRAME","1110"
"1166","FRAME_RELATED","1111"
"714","FRAME","1111"
"716","FRAME","1111"
"715","FRAME","1111"
"184","FRAME","1111"
"1","FRAME","1112"
"243","FRAME","1112"
"2","FRAME","1112"
"3","FRAME","1112"
"267","FRAME","1112"
"71","FRAME","1112"
"124","FRAME","1112"
"68","FRAME","1112"
"263","FRAME","1112"
"122","FRAME","1112"
"69","FRAME","1112"
"37","FRAME","1112"
"204","FRAME","1112"
"66","FRAME","1112"
"70","FRAME","1112"
"210","FRAME","1112"
"1078","FRAME","1112"
"268","FRAME","1112"
"209","FRAME","1112"
"115","FRAME","1112"
"262","FRAME","1112"
"222","FRAME","1112"
"255","FRAME","1112"
"205","FRAME","1112"
"6","FRAME","1112"
"207","FRAME","1112"
"4","FRAME","1112"
"254","FRAME","1112"
"72","FRAME","1112"
"125","FRAME","1112"
"27","FRAME","1112"
"77","FRAME","1112"
"162","FRAME","1112"
"103","FRAME","1112"
"213","FRAME","1112"
"163","FRAME","1112"
"67","FRAME","1112"
"165","FRAME","1112"
"159","FRAME","1112"
"164","FRAME","1112"
"73","FRAME","1112"
"75","FRAME","1112"
"78","FRAME","1112"
"5","FRAME","1112"
"76","FRAME","1112"
"102","FRAME","1112"
"74","FRAME","1112"
"215","FRAME","1112"
"114","FRAME","1112"
"1214","FRAME_RELATED","1112"
"1196","FRAME_RELATED","1113"
"1177","FRAME_RELATED","1113"
"1166","FRAME_RELATED","1113"
"109","FRAME","1113"
"16","FRAME","1113"
"170","FRAME","1113"
"169","FRAME","1113"
"510","FRAME","1113"
"251","FRAME","1113"
"1065","FRAME","1113"
"105","FRAME","1113"
"104","FRAME","1113"
"171","FRAME","1113"
"1195","FRAME_RELATED","1114"
"1067","FRAME","1114"
"214","FRAME","1114"
"1066","FRAME","1114"
"185","FRAME","1114"
"46","FRAME","1115"
"139","FRAME","1115"
"1670","FRAME_RELATED","1116"
"1351","FRAME_RELATED","1116"
"1071","FRAME","1116"
"51","FRAME","1116"
"258","FRAME","1116"
"138","FRAME","1117"
"1075","FRAME","1117"
"139","FRAME","1118"
"232","FRAME","1118"
"1195","FRAME_RELATED","1119"
"52","FRAME","1119"
"95","FRAME","1119"
"232","FRAME","1119"
"233","FRAME","1119"
"234","FRAME","1119"
"96","FRAME","1119"
"1195","FRAME_RELATED","1120"
"1073","FRAME","1120"
"165","FRAME","1120"
"35","FRAME","1120"
"37","FRAME","1120"
"1076","FRAME","1120"
"161","FRAME","1120"
"33","FRAME","1120"
"31","FRAME","1120"
"36","FRAME","1120"
"34","FRAME","1120"
"204","FRAME","1120"
"164","FRAME","1120"
"190","FRAME","1120"
"40","FRAME","1120"
"70","FRAME","1120"
"594","FRAME","1120"
"71","FRAME","1120"
"1071","FRAME","1120"
"73","FRAME","1120"
"72","FRAME","1120"
"115","FRAME","1120"
"211","FRAME","1120"
"39","FRAME","1120"
"32","FRAME","1120"
"174","FRAME","1120"
"79","FRAME","1120"
