,0,1,2
0,1652,FRAME_RELATED,1029
1,1816,FRAME_RELATED,1033
2,703,FRAME_ADVANCE,1036
3,730,FRAME_ADVANCE,1038
4,861,FRAME_ADVANCE,1045
5,1744,FRAME_RELATED,1048
6,131,FRAME_ADVANCE,1051
7,724,FRAME_ADVANCE,1055
8,657,FRAME_BASIC,1063
9,696,FRAME_BASIC,1064
10,742,FRAME_BASIC,1067
11,787,FRAME_BASIC,1068
12,841,FRAME_BASIC,1069
13,207,FRAME_BASIC,1073
14,310,FRAME_BASIC,1074
15,1019,FRAME_BASIC,1077
16,1708,FRAME_RELATED,1113
17,1657,FRAME_RELATED,1117
18,1681,FRAME_RELATED,1119
19,1707,FRAME_RELATED,1120
20,1734,FRAME_RELATED,1121
21,150,LANG_BASIC,1136
22,604,LANG_ADVANCE,1145
23,167,LANG_BASIC,1146
24,808,LANG_BASIC,1147
25,383,LANG_BASIC,1148
26,482,LANG_BASIC,1150
27,1690,LANG_RELATED,1161
28,610,TOOL_ADVANCE,1371
29,622,TOOL_ADVANCE,1375
30,627,TOOL_ADVANCE,1379
31,175,TOOL_BASIC,1380
32,652,TOOL_ADVANCE,1382
33,659,TOOL_ADVANCE,1383
34,793,TOOL_ADVANCE,1388
35,1665,TOOL_RELATED,1398
36,53,TOOL_ADVANCE,1402
37,261,TOOL_BASIC,1404
38,90,TOOL_ADVANCE,1408
39,101,TOOL_ADVANCE,1409
40,184,TOOL_ADVANCE,1416
41,222,TOOL_ADVANCE,1418
42,1690,TOOL_RELATED,1419
43,244,TOOL_BASIC,1419
44,245,TOOL_ADVANCE,1419
45,253,TOOL_ADVANCE,1420
46,330,TOOL_ADVANCE,1423
47,356,TOOL_ADVANCE,1424
48,377,TOOL_ADVANCE,1428
49,407,TOOL_ADVANCE,1429
50,413,TOOL_ADVANCE,1430
51,577,TOOL_BASIC,1431
52,675,TOOL_BASIC,1434
53,448,TOOL_ADVANCE,1435
54,522,TOOL_ADVANCE,1443
55,548,TOOL_ADVANCE,1444
56,452,TOOL_BASIC,1445
57,573,TOOL_ADVANCE,1448
58,647,TOOL_BASIC,1453
59,682,TOOL_BASIC,1454
60,716,TOOL_BASIC,1457
61,1793,TOOL_RELATED,1463
62,184,TOOL_BASIC,1473
63,190,TOOL_BASIC,1474
64,193,TOOL_BASIC,1475
65,278,TOOL_BASIC,1477
66,352,TOOL_BASIC,1482
67,355,TOOL_BASIC,1483
68,378,TOOL_BASIC,1486
69,384,TOOL_BASIC,1490
70,407,TOOL_BASIC,1491
71,453,TOOL_BASIC,1495
72,462,TOOL_BASIC,1497
73,475,TOOL_BASIC,1498
74,502,TOOL_BASIC,1504
75,998,TOOL_BASIC,1529
76,1678,TOOL_RELATED,1582
77,1851,TOOL_RELATED,1586
78,1734,TOOL_RELATED,1608
79,1790,TOOL_RELATED,1620
80,1819,TOOL_RELATED,1621
81,1841,TOOL_RELATED,1622
82,174,TECH,1678
83,182,TECH,1682
84,198,TECH,1685
85,227,TECH,1689
86,271,TECH,1691
87,296,TECH,1697
88,408,TECH,1712
89,424,TECH,1713
90,470,TECH,1718
91,473,TECH,1719
92,258,TECH,1722
93,1001,TECH,1780
94,1019,TECH,1835
