,0,1,2
0,1023,CAREER_FRAME_BASIC,1024
1,1023,CAREER_FRAME_BASIC,1046
2,1013,CAREER_FRAME_ADVANCE,1046
3,157,COURSE_FRAME_ADVANCE,1052
4,121,COURSE_FRAME_BASIC,1027
5,993,CAREER_FRAME_ADVANCE,1030
6,993,CAREER_FRAME_ADVANCE,1048
7,993,CAREER_FRAME_ADVANCE,1049
8,993,CAREER_FRAME_ADVANCE,1071
9,28,COURSE_FRAME_ADVANCE,1048
10,29,COURSE_FRAME_ADVANCE,1049
11,144,COURSE_FRAME_BASIC,1072
12,615,COURSE_FRAME_BASIC,1061
13,1014,CAREER_FRAME_ADVANCE,1073
14,1000,CAREER_FRAME_ADVANCE,1052
15,738,COURSE_FRAME_BASIC,1066
16,94,COURSE_FRAME_BASIC,1049
17,1020,CAREER_FRAME_ADVANCE,1059
18,1020,CAREER_FRAME_ADVANCE,1078
19,404,COURSE_FRAME_BASIC,1075
20,404,COURSE_FRAME_BASIC,1076
21,149,COURSE_LANG_ADVANCE,1136
22,348,COURSE_LANG_BASIC,1128
23,1013,CAREER_LANG_ADVANCE,1156
24,988,CAREER_LANG_ADVANCE,1147
25,1018,CAREER_LANG_ADVANCE,1157
26,1014,CAREER_LANG_ADVANCE,1146
27,1012,CAREER_LANG_ADVANCE,1155
28,1002,CAREER_LANG_BASIC,1143
29,402,COURSE_LANG_BASIC,1149
30,1009,CAREER_LANG_ADVANCE,1135
31,1009,CAREER_LANG_ADVANCE,1142
32,993,CAREER_LANG_ADVANCE,1138
33,148,COURSE_LANG_ADVANCE,1135
34,1015,CAREER_LANG_BASIC,1128
35,1015,CAREER_LANG_BASIC,1139
36,988,CAREER_LANG_BASIC,1129
37,988,CAREER_LANG_BASIC,1134
38,724,COURSE_LANG_ADVANCE,1137
39,8,COURSE_LANG_BASIC,1142
40,243,COURSE_TOOL_BASIC,1172
41,243,COURSE_TOOL_BASIC,1271
42,1023,CAREER_TOOL_BASIC,1173
43,1023,CAREER_TOOL_BASIC,1189
44,1023,CAREER_TOOL_BASIC,1365
45,996,CAREER_TOOL_ADVANCE,1317
46,996,CAREER_TOOL_ADVANCE,1319
47,993,CAREER_TOOL_ADVANCE,1273
48,988,CAREER_TOOL_ADVANCE,1172
49,1002,CAREER_TOOL_ADVANCE,1212
50,1002,CAREER_TOOL_ADVANCE,1326
51,1002,CAREER_TOOL_ADVANCE,1327
52,625,COURSE_TOOL_ADVANCE,1173
53,1014,CAREER_TOOL_BASIC,1354
54,1017,CAREER_TOOL_BASIC,1265
55,1017,CAREER_TOOL_BASIC,1361
56,1017,CAREER_TOOL_BASIC,1362
57,1017,CAREER_TOOL_BASIC,1363
58,1002,CAREER_TOOL_BASIC,1352
