"id(h)","type(r)","id(t)"
"817","COURSE_FRAME_BASIC","1024"
"828","COURSE_FRAME_BASIC","1024"
"816","COURSE_FRAME_BASIC","1024"
"818","COURSE_FRAME_BASIC","1024"
"823","COURSE_FRAME_BASIC","1024"
"824","COURSE_FRAME_BASIC","1024"
"822","COURSE_FRAME_BASIC","1024"
"830","COURSE_FRAME_BASIC","1024"
"829","COURSE_FRAME_ADVANCE","1024"
"819","COURSE_FRAME_ADVANCE","1024"
"826","COURSE_FRAME_ADVANCE","1024"
"825","COURSE_FRAME_ADVANCE","1024"
"611","COURSE_FRAME_ADVANCE","1024"
"821","COURSE_FRAME_ADVANCE","1024"
"827","COURSE_FRAME_ADVANCE","1024"
"820","COURSE_FRAME_ADVANCE","1024"
"824","COURSE_FRAME_ADVANCE","1024"
"232","COURSE_FRAME_ADVANCE","1024"
"1023","CAREER_FRAME_BASIC","1024"
"989","CAREER_FRAME_ADVANCE","1024"
"1013","CAREER_FRAME_ADVANCE","1024"
"805","COURSE_FRAME_BASIC","1025"
"793","COURSE_FRAME_BASIC","1025"
"152","COURSE_FRAME_BASIC","1025"
"764","COURSE_FRAME_BASIC","1025"
"828","COURSE_FRAME_BASIC","1025"
"813","COURSE_FRAME_BASIC","1025"
"235","COURSE_FRAME_BASIC","1025"
"227","COURSE_FRAME_BASIC","1025"
"796","COURSE_FRAME_BASIC","1025"
"769","COURSE_FRAME_BASIC","1025"
"799","COURSE_FRAME_BASIC","1025"
"775","COURSE_FRAME_BASIC","1025"
"442","COURSE_FRAME_BASIC","1025"
"762","COURSE_FRAME_BASIC","1025"
"405","COURSE_FRAME_BASIC","1025"
"768","COURSE_FRAME_ADVANCE","1025"
"13","COURSE_FRAME_ADVANCE","1025"
"621","COURSE_FRAME_ADVANCE","1025"
"772","COURSE_FRAME_ADVANCE","1025"
"778","COURSE_FRAME_ADVANCE","1025"
"234","COURSE_FRAME_ADVANCE","1025"
"232","COURSE_FRAME_ADVANCE","1025"
"628","COURSE_FRAME_ADVANCE","1025"
"614","COURSE_FRAME_ADVANCE","1025"
"764","COURSE_FRAME_ADVANCE","1025"
"612","COURSE_FRAME_ADVANCE","1025"
"608","COURSE_FRAME_ADVANCE","1025"
"770","COURSE_FRAME_ADVANCE","1025"
"767","COURSE_FRAME_ADVANCE","1025"
"157","COURSE_FRAME_ADVANCE","1025"
"617","COURSE_FRAME_ADVANCE","1025"
"765","COURSE_FRAME_ADVANCE","1025"
"613","COURSE_FRAME_ADVANCE","1025"
"623","COURSE_FRAME_ADVANCE","1025"
"609","COURSE_FRAME_ADVANCE","1025"
"660","COURSE_FRAME_ADVANCE","1025"
"773","COURSE_FRAME_ADVANCE","1025"
"761","COURSE_FRAME_ADVANCE","1025"
"15","COURSE_FRAME_ADVANCE","1025"
"771","COURSE_FRAME_ADVANCE","1025"
