,0,1,2
0,1471,TECH_RELATED_FRAME,1112
1,824,COURSE_FRAME_BASIC,1024
2,824,COURSE_FRAME_BASIC,1043
3,828,COURSE_FRAME_BASIC,1024
4,828,COURSE_FRAME_BASIC,1025
5,828,COURSE_FRAME_BASIC,1043
6,830,COURSE_FRAME_BASIC,1024
7,830,COURSE_FRAME_BASIC,1043
8,820,COURSE_FRAME_ADVANCE,1024
9,820,COURSE_FRAME_ADVANCE,1043
10,232,COURSE_FRAME_ADVANCE,1024
11,232,COURSE_FRAME_ADVANCE,1025
12,824,COURSE_FRAME_ADVANCE,1024
13,824,COURSE_FRAME_ADVANCE,1043
14,821,COURSE_FRAME_ADVANCE,1024
15,821,COURSE_FRAME_ADVANCE,1043
16,1023,CAREER_FRAME_BASIC,1054
17,989,CAREER_FRAME_ADVANCE,1024
18,989,CAREER_FRAME_ADVANCE,1054
19,1013,CAREER_FRAME_ADVANCE,1024
20,1013,CAREER_FRAME_ADVANCE,1053
21,805,COURSE_FRAME_BASIC,1025
22,805,COURSE_FRAME_BASIC,1062
23,769,COURSE_FRAME_BASIC,1025
24,769,COURSE_FRAME_BASIC,1034
25,152,COURSE_FRAME_BASIC,1025
26,152,COURSE_FRAME_BASIC,1046
27,442,COURSE_FRAME_BASIC,1025
28,442,COURSE_FRAME_BASIC,1053
29,766,COURSE_FRAME_ADVANCE,1025
30,766,COURSE_FRAME_ADVANCE,1034
31,621,COURSE_FRAME_ADVANCE,1025
32,621,COURSE_FRAME_ADVANCE,1034
33,778,COURSE_FRAME_ADVANCE,1025
34,778,COURSE_FRAME_ADVANCE,1034
35,157,COURSE_FRAME_ADVANCE,1025
36,678,COURSE_FRAME_ADVANCE,1025
37,678,COURSE_FRAME_ADVANCE,1034
38,608,COURSE_FRAME_ADVANCE,1025
39,608,COURSE_FRAME_ADVANCE,1046
40,13,COURSE_FRAME_ADVANCE,1025
41,13,COURSE_FRAME_ADVANCE,1046
42,609,COURSE_FRAME_ADVANCE,1025
43,609,COURSE_FRAME_ADVANCE,1034
44,629,COURSE_FRAME_BASIC,1026
45,629,COURSE_FRAME_BASIC,1030
46,635,COURSE_FRAME_BASIC,1026
47,635,COURSE_FRAME_BASIC,1030
48,636,COURSE_FRAME_ADVANCE,1026
49,636,COURSE_FRAME_ADVANCE,1028
50,121,COURSE_FRAME_BASIC,1030
51,121,COURSE_FRAME_BASIC,1031
52,121,COURSE_FRAME_ADVANCE,1027
53,121,COURSE_FRAME_ADVANCE,1031
54,991,CAREER_FRAME_ADVANCE,1027
55,991,CAREER_FRAME_ADVANCE,1029
56,993,CAREER_FRAME_ADVANCE,1027
57,993,CAREER_FRAME_ADVANCE,1029
58,1460,TECH_RELATED_FRAME,1030
59,1459,TECH_RELATED_FRAME,1030
60,1446,TECH_RELATED_FRAME,1030
61,642,COURSE_FRAME_ADVANCE,1030
62,642,COURSE_FRAME_ADVANCE,1031
63,28,COURSE_FRAME_ADVANCE,1030
64,28,COURSE_FRAME_ADVANCE,1031
65,28,COURSE_FRAME_ADVANCE,1047
66,27,COURSE_FRAME_ADVANCE,1030
67,27,COURSE_FRAME_ADVANCE,1047
68,29,COURSE_FRAME_ADVANCE,1031
69,703,COURSE_FRAME_BASIC,1032
70,703,COURSE_FRAME_BASIC,1070
71,835,COURSE_FRAME_BASIC,1032
72,835,COURSE_FRAME_BASIC,1043
73,144,COURSE_FRAME_BASIC,1032
74,144,COURSE_FRAME_BASIC,1043
75,144,COURSE_FRAME_BASIC,1046
76,615,COURSE_FRAME_BASIC,1032
77,615,COURSE_FRAME_BASIC,1046
78,592,COURSE_FRAME_ADVANCE,1032
79,592,COURSE_FRAME_ADVANCE,1053
80,1014,CAREER_FRAME_ADVANCE,1032
81,1014,CAREER_FRAME_ADVANCE,1034
82,1014,CAREER_FRAME_ADVANCE,1054
83,1014,CAREER_FRAME_ADVANCE,1077
84,1000,CAREER_FRAME_ADVANCE,1032
85,1000,CAREER_FRAME_ADVANCE,1065
86,1000,CAREER_FRAME_ADVANCE,1077
87,988,CAREER_FRAME_ADVANCE,1032
88,988,CAREER_FRAME_ADVANCE,1053
89,988,CAREER_FRAME_ADVANCE,1054
90,845,COURSE_FRAME_BASIC,1033
91,845,COURSE_FRAME_BASIC,1037
92,692,COURSE_FRAME_BASIC,1035
93,692,COURSE_FRAME_BASIC,1046
94,606,COURSE_FRAME_ADVANCE,1035
95,606,COURSE_FRAME_ADVANCE,1060
96,843,COURSE_FRAME_BASIC,1037
97,843,COURSE_FRAME_BASIC,1070
98,734,COURSE_FRAME_BASIC,1039
99,734,COURSE_FRAME_BASIC,1040
100,739,COURSE_FRAME_ADVANCE,1039
101,739,COURSE_FRAME_ADVANCE,1040
102,738,COURSE_FRAME_BASIC,1040
103,1005,CAREER_FRAME_ADVANCE,1041
104,1005,CAREER_FRAME_ADVANCE,1060
105,1005,CAREER_FRAME_ADVANCE,1065
106,1005,CAREER_FRAME_ADVANCE,1077
107,1017,CAREER_FRAME_ADVANCE,1041
108,1017,CAREER_FRAME_ADVANCE,1053
109,1017,CAREER_FRAME_ADVANCE,1054
110,1017,CAREER_FRAME_ADVANCE,1060
111,1017,CAREER_FRAME_ADVANCE,1077
112,1012,CAREER_FRAME_ADVANCE,1041
113,1012,CAREER_FRAME_ADVANCE,1053
114,1012,CAREER_FRAME_ADVANCE,1054
115,809,COURSE_FRAME_BASIC,1043
116,809,COURSE_FRAME_BASIC,1065
117,94,COURSE_FRAME_BASIC,1071
118,1023,CAREER_FRAME_ADVANCE,1053
119,1023,CAREER_FRAME_ADVANCE,1077
120,1638,TECH_RELATED_FRAME,1170
121,1008,CAREER_FRAME_ADVANCE,1054
122,1008,CAREER_FRAME_ADVANCE,1077
123,1520,TECH_RELATED_FRAME,1060
124,1637,TECH_RELATED_FRAME,1060
125,1499,TECH_RELATED_FRAME,1112
126,1499,TECH_RELATED_FRAME,1170
127,1085,FRAME_RELATED_LANG,1122
128,1085,FRAME_RELATED_LANG,1130
129,1025,FRAME_RELATED_LANG,1122
130,1025,FRAME_RELATED_LANG,1123
131,1025,FRAME_RELATED_LANG,1125
132,1466,TECH_RELATED_LANG,1122
133,1466,TECH_RELATED_LANG,1125
134,1453,TECH_RELATED_LANG,1122
135,1453,TECH_RELATED_LANG,1125
136,1453,TECH_RELATED_LANG,1127
137,1453,TECH_RELATED_LANG,1133
138,1468,TECH_RELATED_LANG,1122
139,1468,TECH_RELATED_LANG,1123
140,1468,TECH_RELATED_LANG,1125
141,1470,TECH_RELATED_LANG,1122
142,1470,TECH_RELATED_LANG,1123
143,1470,TECH_RELATED_LANG,1125
144,1464,TECH_RELATED_LANG,1122
145,1464,TECH_RELATED_LANG,1123
146,1464,TECH_RELATED_LANG,1125
147,1266,TOOL_RELATED_LANG,1122
148,1266,TOOL_RELATED_LANG,1123
149,1266,TOOL_RELATED_LANG,1125
150,1178,TOOL_RELATED_LANG,1122
151,1178,TOOL_RELATED_LANG,1123
152,1178,TOOL_RELATED_LANG,1125
153,1178,TOOL_RELATED_LANG,1126
154,1334,TOOL_RELATED_LANG,1122
155,1334,TOOL_RELATED_LANG,1123
156,1334,TOOL_RELATED_LANG,1124
157,1334,TOOL_RELATED_LANG,1125
158,1334,TOOL_RELATED_LANG,1126
159,1334,TOOL_RELATED_LANG,1127
160,1334,TOOL_RELATED_LANG,1129
161,1334,TOOL_RELATED_LANG,1130
162,1334,TOOL_RELATED_LANG,1131
163,1334,TOOL_RELATED_LANG,1132
164,1334,TOOL_RELATED_LANG,1134
165,1334,TOOL_RELATED_LANG,1143
166,1334,TOOL_RELATED_LANG,1151
167,1436,TOOL_RELATED_LANG,1122
168,1436,TOOL_RELATED_LANG,1125
169,1250,TOOL_RELATED_LANG,1122
170,1250,TOOL_RELATED_LANG,1123
171,1250,TOOL_RELATED_LANG,1125
172,607,COURSE_LANG_ADVANCE,1122
173,607,COURSE_LANG_ADVANCE,1123
174,607,COURSE_LANG_ADVANCE,1125
175,238,COURSE_LANG_ADVANCE,1122
176,238,COURSE_LANG_ADVANCE,1125
177,238,COURSE_LANG_ADVANCE,1127
178,238,COURSE_LANG_ADVANCE,1133
179,15,COURSE_LANG_ADVANCE,1122
180,15,COURSE_LANG_ADVANCE,1123
181,240,COURSE_LANG_ADVANCE,1122
182,240,COURSE_LANG_ADVANCE,1127
183,674,COURSE_LANG_ADVANCE,1122
184,674,COURSE_LANG_ADVANCE,1123
185,674,COURSE_LANG_ADVANCE,1125
186,291,COURSE_LANG_ADVANCE,1122
187,291,COURSE_LANG_ADVANCE,1125
188,291,COURSE_LANG_ADVANCE,1128
