,0,1,2
0,391,FRAME,596
1,401,FRAME,596
2,398,FRAME,596
3,183,FRAME,596
4,399,FRAME,596
5,397,FRAME,596
6,395,FRAME,596
7,390,FRAME,596
8,389,FRAME,596
9,394,FRAME,596
10,388,FRAME,596
11,368,FRAME,597
12,342,FRAME,597
13,347,FRAME,597
14,594,FRAME,597
15,1625,FRAME,597
16,232,FRAME,597
17,335,FRAME,597
18,1455,FRAME,597
19,1447,FRAME,597
20,346,FRAME,597
21,1460,FRAME,597
22,371,FRAME,597
23,185,FRAME,597
24,385,FRAME,597
25,1235,FRAME,597
26,344,FRAME,597
27,1454,FRAME,597
28,365,FRAME,597
29,336,FRAME,597
30,345,FRAME,597
31,189,FRAME,597
32,184,FRAME,597
33,333,FRAME,597
34,334,FRAME,597
35,200,FRAME,597
36,195,FRAME,597
37,343,FRAME,597
38,209,FRAME,598
39,210,FRAME,598
40,1352,FRAME,598
41,211,FRAME,598
42,203,FRAME,599
43,1336,FRAME,599
44,206,FRAME,600
45,84,FRAME,601
46,223,FRAME,601
47,85,FRAME,601
48,224,FRAME,601
49,213,FRAME,601
50,1337,FRAME,601
51,89,FRAME,601
52,78,FRAME,601
53,202,FRAME,601
54,218,FRAME,601
55,222,FRAME,601
56,92,FRAME,601
57,1353,FRAME,601
58,75,FRAME,601
59,91,FRAME,601
60,219,FRAME,601
61,212,FRAME,601
62,215,FRAME,601
63,221,FRAME,601
64,216,FRAME,601
65,81,FRAME,601
66,220,FRAME,601
67,87,FRAME,601
68,217,FRAME,601
69,76,FRAME,601
70,366,FRAME,603
71,1246,FRAME,603
72,1291,FRAME,603
73,270,FRAME,604
74,279,FRAME,604
75,277,FRAME,604
76,233,FRAME,604
77,276,FRAME,604
78,280,FRAME,604
79,231,FRAME,604
80,271,FRAME,604
81,274,FRAME,604
82,269,FRAME,604
83,188,FRAME,604
84,273,FRAME,604
85,1355,FRAME,605
86,1450,FRAME,605
87,241,FRAME,605
88,376,FRAME,605
89,240,FRAME,605
90,1453,FRAME,605
91,251,FRAME,606
92,252,FRAME,606
93,593,FRAME,606
94,243,FRAME,606
95,248,FRAME,606
96,293,FRAME,606
97,247,FRAME,606
98,254,FRAME,606
99,245,FRAME,606
100,244,FRAME,606
101,246,FRAME,606
102,249,FRAME,606
103,179,FRAME,606
104,374,FRAME,606
105,260,FRAME,607
106,259,FRAME,607
107,261,FRAME,607
108,265,FRAME,607
109,191,FRAME,607
110,258,FRAME,607
111,267,FRAME,607
112,287,FRAME,609
113,416,FRAME,609
114,419,FRAME,609
115,302,FRAME,610
116,299,FRAME,610
117,301,FRAME,610
118,312,FRAME,611
119,307,FRAME,611
120,316,FRAME,612
121,1463,FRAME,612
122,313,FRAME,612
123,326,FRAME,613
124,325,FRAME,613
125,331,FRAME,613
126,327,FRAME,613
127,319,FRAME,613
128,329,FRAME,613
129,324,FRAME,613
130,320,FRAME,613
131,332,FRAME,613
132,328,FRAME,613
133,322,FRAME,613
134,330,FRAME,613
135,321,FRAME,613
136,323,FRAME,613
137,362,FRAME,614
138,378,FRAME,614
139,410,FRAME,615
140,403,FRAME,615
141,408,FRAME,615
142,409,FRAME,615
143,404,FRAME,615
144,411,FRAME,615
145,406,FRAME,615
146,405,FRAME,615
147,425,FRAME,616
148,427,FRAME,616
149,420,FRAME,616
150,423,FRAME,616
151,421,FRAME,616
